fonts-lohit-knda	2.5.4-3	all
fonts-lohit-mlym	2.92.2-2	all
fonts-lohit-orya	2.91.2-2	all
fonts-lohit-taml	2.91.3-2	all
fonts-lohit-taml-classical	2.5.4-2	all
fonts-lohit-telu	2.5.5-2build1	all
fonts-mlym	2:1.3	all
fonts-nakula	1.0-4	all
fonts-navilu	1.2-4	all
fonts-noto-cjk	1:20230817+repack1-3	all
fonts-noto-color-emoji	2.047-0ubuntu0.24.04.1	all
fonts-noto-mono	20201225-2	all
fonts-opensymbol	4:102.12+LibO24.2.7-0ubuntu0.24.04.6	all
fonts-orya	2:1.3	all
fonts-orya-extra	2.0-6	all
fonts-pagul	1.0-9	all
fonts-sahadeva	1.0-5	all
fonts-samyak-deva	1.2.2-6	all
fonts-samyak-gujr	1.2.2-6	all
fonts-samyak-mlym	1.2.2-6	all
fonts-samyak-taml	1.2.2-6	all
fonts-sarai	1.0-3	all
fonts-sil-abyssinica	2.201-1	all
fonts-sil-annapurna	2.000-2	all
fonts-sil-padauk	5.001-1	all
fonts-smc	1:7.5	all
fonts-smc-anjalioldlipi	7.1.2-2	all
fonts-smc-chilanka	1.540-2	all
fonts-smc-dyuthi	3.0.2-2	all
fonts-smc-gayathri	1.200-1	all
fonts-smc-karumbi	1.1.2-2	all
fonts-smc-keraleeyam	3.0.2-2	all
fonts-smc-manjari	2.200-1	all
fonts-smc-meera	7.0.3-1	all
fonts-smc-rachana	7.0.2-1build1	all
fonts-smc-raghumalayalamsans	2.2.1-1	all
fonts-smc-suruma	3.2.3-1	all
fonts-smc-uroob	2.0.2-1	all
fonts-taml	2:1.4	all
fonts-telu	2:1.3	all
fonts-telu-extra	2.0-6	all
fonts-teluguvijayam	2.1-1	all
fonts-thai-tlwg	1:0.7.3-1	all
fonts-tibetan-machine	1.901b-6	all
fonts-tlwg-garuda	1:0.7.3-1	all
fonts-tlwg-garuda-ttf	1:0.7.3-1	all
fonts-tlwg-kinnari	1:0.7.3-1	all
fonts-tlwg-kinnari-ttf	1:0.7.3-1	all
fonts-tlwg-laksaman	1:0.7.3-1	all
fonts-tlwg-laksaman-ttf	1:0.7.3-1	all
fonts-tlwg-loma	1:0.7.3-1	all
fonts-tlwg-loma-ttf	1:0.7.3-1	all
fonts-tlwg-mono	1:0.7.3-1	all
fonts-tlwg-mono-ttf	1:0.7.3-1	all
fonts-tlwg-norasi	1:0.7.3-1	all
fonts-tlwg-norasi-ttf	1:0.7.3-1	all
fonts-tlwg-purisa	1:0.7.3-1	all
fonts-tlwg-purisa-ttf	1:0.7.3-1	all
fonts-tlwg-sawasdee	1:0.7.3-1	all
fonts-tlwg-sawasdee-ttf	1:0.7.3-1	all
fonts-tlwg-typewriter	1:0.7.3-1	all
fonts-tlwg-typewriter-ttf	1:0.7.3-1	all
fonts-tlwg-typist	1:0.7.3-1	all
fonts-tlwg-typist-ttf	1:0.7.3-1	all
fonts-tlwg-typo	1:0.7.3-1	all
fonts-tlwg-typo-ttf	1:0.7.3-1	all
fonts-tlwg-umpush	1:0.7.3-1	all
fonts-tlwg-umpush-ttf	1:0.7.3-1	all
fonts-tlwg-waree	1:0.7.3-1	all
fonts-tlwg-waree-ttf	1:0.7.3-1	all
fonts-ubuntu	0.869+git20240321-0ubuntu1	all
fonts-ubuntu-console	0.869+git20240321-0ubuntu1	all
fonts-urw-base35	20200910-8	all
fonts-wine	9.0~repack-4build3	all
fonts-yrsa-rasa	2.005-1	all
foomatic-db-compressed-ppds	20230202-1	all
fping	5.1-1	arm64
fprintd	1.94.3-1	arm64
freeipmi-common	1.6.13-3ubuntu0.1	all
friendly-recovery	0.2.42	all
ftp	20230507-2build3	all
fuse3	3.14.0-5build1	arm64
fwupd	2.0.20-1ubuntu2~24.04.2	arm64
fwupd-signed	1.52+1.4-1	arm64
g++	4:13.2.0-7ubuntu1	arm64
g++-13	13.3.0-6ubuntu2~24.04.1	arm64
g++-13-aarch64-linux-gnu	13.3.0-6ubuntu2~24.04.1	arm64
g++-aarch64-linux-gnu	4:13.2.0-7ubuntu1	arm64
gamemode	1.8.1-2build1	arm64
gamemode-daemon	1.8.1-2build1	arm64
gawk	1:5.2.1-2ubuntu0.1	arm64
gcc	4:13.2.0-7ubuntu1	arm64
gcc-13	13.3.0-6ubuntu2~24.04.1	arm64
gcc-13-aarch64-linux-gnu	13.3.0-6ubuntu2~24.04.1	arm64
gcc-13-base	13.3.0-6ubuntu2~24.04.1	arm64
gcc-14-base	14.2.0-4ubuntu2~24.04.1	arm64
gcc-aarch64-linux-gnu	4:13.2.0-7ubuntu1	arm64
gcr	3.41.2-1build3	arm64
gcr4	4.2.0-5	arm64
gdb	15.1-1ubuntu1~24.04.1	arm64
gdbserver	15.1-1ubuntu1~24.04.1	arm64
gdisk	1.0.10-1build1	arm64
gdm3	46.2-1ubuntu1~24.04.9	arm64
gds-tools-13-0	1.15.1.6-1	arm64
gedit	46.2-2	arm64
gedit-common	46.2-2	all
geoclue-2.0	2.7.0-3ubuntu7	arm64
geocode-glib-common	3.26.3-6build3	all
gettext-base	0.21-14ubuntu2	arm64
ghostscript	10.02.1~dfsg1-0ubuntu7.8	arm64
gir1.2-accountsservice-1.0	23.13.9-2ubuntu6.1	arm64
gir1.2-adw-1	1.5.0-1ubuntu2	arm64
gir1.2-amtk-5	5.8.0-4build2	arm64
gir1.2-atk-1.0	2.52.0-1build1	arm64
gir1.2-atspi-2.0	2.52.0-1build1	arm64
gir1.2-dbusmenu-glib-0.4	18.10.20180917~bzr492+repack1-3.1ubuntu5	arm64
gir1.2-dee-1.0	1.2.7+17.10.20170616-7build5	arm64
gir1.2-evince-3.0	46.3.1-0ubuntu1.1	arm64
gir1.2-freedesktop	1.80.1-1	arm64
gir1.2-gck-2	4.2.0-5	arm64
gir1.2-gcr-4	4.2.0-5	arm64
gir1.2-gdesktopenums-3.0	46.1-0ubuntu1	arm64
gir1.2-gdkpixbuf-2.0	2.42.10+dfsg-3ubuntu3.3	arm64
